bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(3.9544, 3.9547]",3.9544121736956983,3.9546565336241235,2,"(('bin_equal_frequency_2', 'x3'), ('zscore_filter_3', 'x5'))",222
"(3.9547, 3.955]",3.954687236688903,3.954938916742083,2,"(('bin_equal_frequency_2', 'x3'), ('bin_equal_width_5', 'x6'))",84
"(3.955, 3.9552]",3.954956248437944,3.9552087473381135,2,"(('IQR', 'x6'), ('bin_equal_width_10', 'x6'))",81
"(3.9552, 3.9555]",3.955228135516543,3.955498318360099,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_2', 'x3'), ('zscore_filter_3', 'x5'))",83
"(3.9555, 3.9558]",3.9555066239425587,3.9557626170540683,3,"(('bin_equal_frequency_2', 'x1'), ('IQR', 'x6'), ('bin_equal_width_10', 'x6'))",46
"(3.9558, 3.9561]",3.955783922902806,3.9560340949708133,2,"(('IQR', 'x6'), ('bin_equal_frequency_5', 'x6'))",107
"(3.9561, 3.9563]",3.956055269986161,3.95631021649617,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_2', 'x2'), ('bin_equal_width_5', 'x6'))",93
"(3.9563, 3.9566]",3.9563324880483863,3.95655079480097,3,"(('bin_equal_frequency_2', 'x1'), ('zscore_filter_3', 'x5'), ('bin_equal_width_10', 'x6'))",48
"(3.9566, 3.9569]",3.9566128220556647,3.956871325920213,3,"(('bin_equal_frequency_5', 'x1'), ('zscore_clip_3', 'x2'), ('zscore_filter_3', 'x5'))",16
"(3.9569, 3.9571]",3.9568849922285114,3.957142533924795,2,"(('zscore_filter_3', 'x5'), ('bin_equal_width_10', 'x6'))",72
"(3.9571, 3.9574]",3.9571872080586306,3.9574144978049945,2,"(('zscore_filter_3', 'x5'), ('bin_equal_frequency_5', 'x6'))",96
"(3.9574, 3.9577]",3.9574406883581554,3.9576962525321835,3,"(('bin_equal_frequency_2', 'x1'), ('zscore_clip_3', 'x2'), ('bin_equal_width_5', 'x6'))",37
"(3.9577, 3.958]",3.9577138448304434,3.957968367378563,3,"(('bin_equal_frequency_2', 'x1'), ('zscore_clip_3', 'x2'), ('zscore_filter_3', 'x5'))",41
"(3.958, 3.9582]",3.957995472421927,3.9582324931105832,3,"(('bin_equal_frequency_5', 'x1'), ('zscore_filter_3', 'x5'), ('bin_equal_width_10', 'x6'))",18
"(3.9582, 3.9585]",3.9582668985184797,3.958517609889185,3,"(('bin_equal_frequency_10', 'x1'), ('zscore_filter_3', 'x5'), ('bin_equal_frequency_5', 'x6'))",10
"(3.9585, 3.9588]",3.95852937836116,3.9587010373269194,3,"(('norm_log', 'x1'), ('zscore_filter_3', 'x5'), ('bin_equal_frequency_5', 'x6'))",6
"(3.9588, 3.9591]",3.958815734943902,3.9590578998286303,3,"(('bin_equal_frequency_10', 'x1'), ('zscore_filter_3', 'x5'), ('bin_equal_width_10', 'x6'))",11
"(3.9591, 3.9593]",3.9591009658283873,3.959275669296995,3,"(('bin_equal_width_5', 'x1'), ('norm_log', 'x1'), ('bin_equal_frequency_2', 'x6'))",6
"(3.9593, 3.9596]",3.959354033896725,3.959576688101298,3,"(('bin_equal_width_10', 'x1'), ('IQR', 'x6'), ('bin_equal_frequency_5', 'x6'))",8
"(3.9596, 3.9599]",3.959683772643042,3.9598367760411635,3,"(('IQR', 'x2'), ('bin_equal_width_2', 'x3'), ('bin_equal_frequency_2', 'x6'))",7
"(3.9599, 3.9602]",3.959914123371734,3.9600564916239787,3,"(('zscore_filter_3', 'x2'), ('zscore_filter_3', 'x3'), ('bin_equal_frequency_2', 'x6'))",5
"(3.9602, 3.9604]",3.9602164407088662,3.960395090825429,3,"(('bin_equal_width_2', 'x1'), ('IQR', 'x2'), ('bin_equal_frequency_2', 'x6'))",5
"(3.9604, 3.9607]",3.9604430384114195,3.9606536838228315,3,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_2', 'x2'), ('bin_equal_frequency_2', 'x6'))",7
"(3.9607, 3.961]",3.960753467458348,3.9609869713032637,3,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_2', 'x5'), ('bin_equal_frequency_2', 'x6'))",9
"(3.961, 3.9613]",3.9610071856164817,3.9612261797555526,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_2', 'x2'), ('bin_equal_frequency_2', 'x6'))",58
"(3.9613, 3.9615]",3.9612656070120233,3.9614842080876964,3,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_2', 'x3'), ('bin_equal_frequency_2', 'x6'))",4
"(3.9615, 3.9618]",3.9615881600679903,3.961751303210103,3,"(('bin_equal_width_5', 'x1'), ('IQR', 'x2'), ('bin_equal_frequency_2', 'x6'))",5
"(3.9618, 3.9621]",3.961913392153041,3.9620648892562698,3,"(('IQR', 'x2'), ('bin_equal_width_2', 'x5'), ('bin_equal_frequency_2', 'x6'))",5
"(3.9621, 3.9624]",3.962193420843064,3.962293843183037,3,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_5', 'x2'), ('bin_equal_frequency_2', 'x6'))",6
"(3.9624, 3.9626]",3.9623739414369217,3.962587521319217,2,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_2', 'x6'))",59
"(3.9626, 3.9629]",3.962643136624718,3.962901607994439,3,"(('winsorize', 'x1'), ('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_2', 'x6'))",11
"(3.9629, 3.9632]",3.962930760104713,3.963176967760621,3,"(('bin_equal_width_2', 'x2'), ('bin_equal_width_2', 'x3'), ('bin_equal_frequency_2', 'x6'))",10
"(3.9632, 3.9635]",3.963208683942411,3.963451586319865,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_2', 'x6'))",64
"(3.9635, 3.9637]",3.9634919850177144,3.9637195342284297,3,"(('bin_equal_frequency_5', 'x1'), ('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_2', 'x6'))",9
"(3.9637, 3.964]",3.963744024441487,3.963998882479857,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_5', 'x2'), ('bin_equal_frequency_2', 'x6'))",48
"(3.964, 3.9643]",3.9640056936551313,3.9642062641298432,3,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_10', 'x2'), ('bin_equal_frequency_2', 'x6'))",10
"(3.9643, 3.9646]",3.964281172023406,3.9645424603347004,2,"(('bin_equal_width_2', 'x3'), ('bin_equal_frequency_2', 'x6'))",69
"(3.9646, 3.9648]",3.9645554640593503,3.964807515985905,2,"(('bin_equal_width_2', 'x5'), ('bin_equal_frequency_2', 'x6'))",64
"(3.9648, 3.9651]",3.964843660916983,3.9650774202091923,2,"(('bin_equal_width_2', 'x5'), ('bin_equal_width_2', 'x6'))",94
"(3.9651, 3.9654]",3.9651063925442864,3.965374945033606,3,"(('bin_equal_width_2', 'x1'), ('zscore_clip_3', 'x5'), ('bin_equal_frequency_2', 'x6'))",12
"(3.9654, 3.9657]",3.9654393419714142,3.9656335744407207,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_2', 'x3'), ('bin_equal_frequency_2', 'x6'))",67
"(3.9657, 3.9659]",3.965661403918355,3.9659167040272525,2,"(('bin_equal_width_2', 'x1'), ('bin_equal_frequency_2', 'x6'))",102
"(3.9659, 3.9662]",3.9659358467767016,3.966196104256335,3,"(('bin_equal_frequency_10', 'x1'), ('bin_equal_width_2', 'x3'), ('bin_equal_frequency_2', 'x6'))",19
"(3.9662, 3.9665]",3.966202704552375,3.9664620877193744,2,"(('bin_equal_width_5', 'x1'), ('bin_equal_frequency_2', 'x6'))",126
"(3.9665, 3.9667]",3.966491281374634,3.96672675473358,3,"(('bin_equal_frequency_10', 'x1'), ('bin_equal_width_2', 'x2'), ('bin_equal_frequency_2', 'x6'))",22
"(3.9667, 3.967]",3.9667598566928226,3.9670169144938168,2,"(('bin_equal_width_2', 'x2'), ('bin_equal_frequency_2', 'x6'))",75
"(3.967, 3.9673]",3.9670220431436514,3.967295229129015,3,"(('bin_equal_frequency_5', 'x1'), ('bin_equal_width_2', 'x5'), ('bin_equal_frequency_2', 'x6'))",18
"(3.9673, 3.9676]",3.967309925814538,3.967566229843924,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_2', 'x2'), ('bin_equal_width_2', 'x6'))",69
"(3.9676, 3.9678]",3.9675926555294065,3.967814424196929,2,"(('bin_equal_width_2', 'x3'), ('bin_equal_width_2', 'x6'))",98
"(3.9678, 3.9681]",3.9678704117818864,3.9680974961188573,2,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_width_2', 'x6'))",126
"(3.9681, 3.9684]",3.968124543572631,3.9683789309418165,2,"(('bin_equal_width_5', 'x2'), ('bin_equal_frequency_2', 'x6'))",191
"(3.9684, 3.9687]",3.968402040657552,3.96865920271339,3,"(('bin_equal_frequency_5', 'x1'), ('IQR', 'x2'), ('bin_equal_frequency_2', 'x6'))",32
"(3.9687, 3.9689]",3.9686836153689313,3.9689396149112057,2,"(('bin_equal_width_10', 'x3'), ('bin_equal_frequency_2', 'x6'))",78
"(3.9689, 3.9692]",3.9689422886517454,3.9692128798377038,2,"(('bin_equal_width_10', 'x2'), ('bin_equal_frequency_2', 'x6'))",190
"(3.9692, 3.9695]",3.9692378979803595,3.969483804694856,3,"(('bin_equal_width_2', 'x1'), ('zscore_clip_3', 'x5'), ('bin_equal_width_2', 'x6'))",22
"(3.9695, 3.9698]",3.9695110167375853,3.969762459189508,3,"(('bin_equal_frequency_2', 'x1'), ('norm_log', 'x4'), ('bin_equal_frequency_2', 'x6'))",47
"(3.9698, 3.97]",3.969766855788224,3.970038536606458,2,"(('IQR', 'x2'), ('bin_equal_width_2', 'x6'))",296
"(3.97, 3.9703]",3.970040833860527,3.970302153714664,1,"(('bin_equal_frequency_2', 'x6'),)",1353
"(3.9703, 3.9706]",3.9703188623382637,3.970574902567376,2,"(('winsorize', 'x1'), ('bin_equal_frequency_2', 'x6'))",284
"(3.9706, 3.9709]",3.9706254046282004,3.9708606551359105,2,"(('winsorize', 'x6'), ('bin_equal_width_2', 'x6'))",106
"(3.9709, 3.9711]",3.9708629075832564,3.9711280006412726,2,"(('norm_log', 'x3'), ('bin_equal_frequency_2', 'x6'))",161
