bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(-0.024323, -0.024322]",-0.02432263157448926,-0.02432186065996852,2,"(('zscore_clip_3', 'cigar6'), ('isolationForest', 'adequacy'))",6
"(-0.024321, -0.024319]",-0.024320469731320307,-0.024319340035980835,3,"(('isolationForest', 'adequacy'), ('bin_equal_width_2', 'adequacy'), ('zscore_filter_3', 'gestat10'))",4
"(-0.024319, -0.024318]",-0.02431903641561537,-0.024318291803974323,3,"(('isolationForest', 'adequacy'), ('zscore_clip_3', 'adequacy'), ('zscore_filter_3', 'gestat10'))",5
"(-0.024318, -0.024317]",-0.02431774805928456,-0.024317183595573545,2,"(('zscore_filter_3', 'dlivord_min'), ('zscore_filter_3', 'frace'))",12
"(-0.024317, -0.024315]",-0.02431622452984685,-0.02431549112718394,2,"(('bin_equal_width_5', 'orfath'), ('isolationForest', 'adequacy'))",8
"(-0.024315, -0.024314]",-0.024315421194221566,-0.024314497463803254,3,"(('isolationForest', 'adequacy'), ('norm_log', 'dfageq'), ('zscore_filter_3', 'gestat10'))",4
"(-0.024314, -0.024313]",-0.02431402839395155,-0.024313313862961553,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'gestat10'), ('bin_equal_width_5', 'infant_id'))",6
"(-0.024313, -0.024312]",-0.024312724566289322,-0.024311830987287432,3,"(('isolationForest', 'adequacy'), ('bin_equal_width_2', 'cigar6'), ('zscore_filter_3', 'gestat10'))",11
"(-0.024312, -0.02431]",-0.02431158903696038,-0.024310369300586422,3,"(('isolationForest', 'adequacy'), ('norm_log', 'crace'), ('zscore_filter_3', 'gestat10'))",12
"(-0.02431, -0.024309]",-0.024310256910268127,-0.024309107383006203,3,"(('zscore_clip_3', 'adequacy'), ('bin_equal_width_2', 'adequacy'), ('isolationForest', 'adequacy'))",23
"(-0.024309, -0.024308]",-0.024308973356828155,-0.02430783556707601,2,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'gestat10'))",124
"(-0.024308, -0.024307]",-0.024307774324176416,-0.024306852760026077,3,"(('zscore_filter_3', 'adequacy'), ('isolationForest', 'adequacy'), ('zscore_filter_3', 'birattnd'))",13
"(-0.024307, -0.024305]",-0.024306502277568774,-0.024305473413293914,2,"(('zscore_filter_3', 'birattnd'), ('IQR', 'gestat10'))",20
"(-0.024305, -0.024304]",-0.0243050560526867,-0.024303956377098503,3,"(('zscore_clip_3', 'adequacy'), ('bin_equal_frequency_2', 'mager8'), ('isolationForest', 'adequacy'))",6
"(-0.024304, -0.024303]",-0.024303840158774348,-0.024302834714149124,3,"(('isolationForest', 'adequacy'), ('zscore_clip_3', 'dlivord_min'), ('zscore_filter_3', 'gestat10'))",3
"(-0.024303, -0.024301]",-0.02430207106478705,-0.02430207106478705,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'gestat10'), ('bin_equal_frequency_2', 'meduc6'))",1
"(-0.024301, -0.0243]",-0.02430065814291502,-0.02430065814291502,3,"(('zscore_clip_3', 'adequacy'), ('bin_equal_frequency_2', 'dlivord_min'), ('isolationForest', 'adequacy'))",1
"(-0.0243, -0.024299]",-0.024299586001594556,-0.024298922948416925,3,"(('bin_equal_width_2', 'adequacy'), ('zscore_filter_3', 'gestat10'), ('isolationForest', 'adequacy'))",4
"(-0.024299, -0.024298]",-0.024297772682632515,-0.024297772682632515,3,"(('isolationForest', 'adequacy'), ('bin_equal_width_2', 'brstate'), ('zscore_filter_3', 'gestat10'))",1
"(-0.024298, -0.024296]",-0.02429724452806812,-0.02429724452806812,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_2', 'drink5'))",1
"(-0.024296, -0.024295]",-0.024295558130671593,-0.024295551633364103,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'gestat10'), ('zscore_clip_3', 'ormoth'))",2
"(-0.024295, -0.024294]",-0.024294579727399186,-0.024294579727399186,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'gestat10'), ('bin_equal_width_2', 'mpre5'))",1
"(-0.024294, -0.024292]",-0.024293070357329506,-0.024292504545360815,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'birattnd'), ('zscore_filter_3', 'mpre5'))",2
"(-0.024291, -0.02429]",-0.024290309325126415,-0.024290309325126415,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_2', 'brstate'))",1
"(-0.024289, -0.024287]",-0.024288594933627197,-0.024288594933627197,3,"(('isolationForest', 'adequacy'), ('IQR', 'gestat10'), ('zscore_filter_3', 'frace'))",1
"(-0.024286, -0.024285]",-0.024285678541723463,-0.024284899299421292,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_2', 'cigar6'))",4
"(-0.024283, -0.024282]",-0.024283398309672556,-0.024282270686198894,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_frequency_2', 'infant_id'))",6
"(-0.024282, -0.024281]",-0.024282030929158285,-0.024281000366431764,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('norm_log', 'brstate'))",9
"(-0.024281, -0.02428]",-0.024280724887396958,-0.02427970356196128,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_2', 'birattnd'))",9
"(-0.02428, -0.024278]",-0.0242796269252984,-0.0242784264573641,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('norm_log', 'birmon'))",15
"(-0.024278, -0.024277]",-0.024278329934990364,-0.024277097644525555,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_2', 'adequacy'))",20
"(-0.024277, -0.024276]",-0.02427709226725428,-0.02427583103327903,2,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'))",119
"(-0.024276, -0.024275]",-0.02427567285475791,-0.024274614178619935,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_2', 'birmon'))",15
"(-0.024275, -0.024273]",-0.024274345267058742,-0.024273512035247587,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('norm_log', 'cigar6'))",8
"(-0.024273, -0.024272]",-0.024272658786976622,-0.024272658786976622,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('norm_log', 'mrace'))",1
