bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(26026.924, 26202.116]",26031.013780660076,26167.972319658278,3,"(('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",5
"(26202.116, 26377.308]",26308.071703180573,26327.873000527587,3,"(('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'))",2
"(26377.308, 26552.5]",26427.76473692422,26538.046152244042,3,"(('zscore_clip_3', 'grade'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",2
"(26552.5, 26727.693]",26599.066330984533,26724.2726057135,3,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'), ('bin_equal_frequency_5', 'yr_built'))",4
"(26727.693, 26902.885]",26761.440473302024,26819.08204851233,3,"(('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'))",2
"(26902.885, 27078.077]",26905.12538191369,26988.80814679305,3,"(('IQR', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",3
"(27078.077, 27253.269]",27214.055688774162,27214.055688774162,18,"(('winsorize', 'condition'), ('winsorize', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'), ('winsorize', 'sqft_lot15'), ('drop_duplicates', 'condition'), ('bin_equal_width_5', 'sqft_living15'), ('IQR', 'yr_built'), ('norm_min_max', 'bathrooms'), ('IQR', 'waterfront'), ('bin_equal_frequency_10', 'yr_renovated'), ('norm_log', 'bedrooms'), ('zscore_clip_3', 'grade'), ('bin_equal_width_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'), ('IQR', 'bathrooms'), ('IQR', 'sqft_lot'), ('winsorize', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_basement'))",1
"(27253.269, 27428.461]",27320.523554564494,27425.93683143924,3,"(('IQR', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'))",4
"(27428.461, 27603.653]",27438.05032909794,27517.367143629246,3,"(('bin_equal_width_2', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",4
"(27603.653, 27778.845]",27660.215420831395,27775.924467032848,3,"(('zscore_clip_3', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",3
"(27778.845, 27954.037]",27786.221144912695,27944.345092741485,3,"(('bin_equal_width_2', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",5
"(27954.037, 28129.23]",27961.67044241829,28100.862558785087,3,"(('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",4
"(28129.23, 28304.422]",28136.65214979709,28299.62425088948,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",6
"(28304.422, 28479.614]",28338.929515843498,28474.446023351025,3,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'), ('bin_equal_frequency_2', 'sqft_lot15'))",5
"(28479.614, 28654.806]",28511.198389991332,28637.386544142275,3,"(('bin_equal_width_2', 'sqft_basement'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",4
"(28654.806, 28829.998]",28689.828296141175,28733.741784487753,20,"(('norm_log', 'condition'), ('IQR', 'bathrooms'), ('winsorize', 'bathrooms'), ('bin_equal_frequency_5', 'sqft_living15'), ('bin_equal_frequency_5', 'sqft_living'), ('isolationForest', 'view'), ('norm_min_max', 'yr_renovated'), ('IQR', 'condition'), ('drop_duplicates', 'sqft_basement'), ('IQR', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_lot'), ('bin_equal_width_2', 'bedrooms'), ('bin_equal_width_5', 'view'), ('bin_equal_width_10', 'bathrooms'), ('zscore_filter_3', 'view'), ('bin_equal_width_5', 'yr_built'), ('norm_min_max', 'sqft_basement'), ('IQR', 'sqft_basement'), ('IQR', 'grade'), ('bin_equal_frequency_2', 'yr_renovated'))",2
"(28829.998, 29005.19]",28852.374837935437,28974.693263403333,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",7
"(29005.19, 29180.382]",29005.77316184373,29142.239329466825,3,"(('zscore_filter_3', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",10
"(29180.382, 29355.574]",29187.817229436056,29346.40005001294,3,"(('bin_equal_frequency_2', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_lot15'), ('isolationForest', 'bathrooms'))",7
"(29355.574, 29530.766]",29418.460611551494,29526.944962710142,3,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'), ('IQR', 'bedrooms'))",8
"(29530.766, 29705.959]",29552.382150305017,29704.29252352017,3,"(('norm_log', 'grade'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",7
"(29705.959, 29881.151]",29715.08679178008,29873.345744878614,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",11
"(29881.151, 30056.343]",29885.320125948663,30036.455335228722,3,"(('IQR', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",7
"(30056.343, 30231.535]",30065.39040799679,30226.634558490543,3,"(('norm_log', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",14
"(30231.535, 30406.727]",30287.24033298829,30398.482349445898,3,"(('winsorize', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",9
"(30406.727, 30581.919]",30412.467321318363,30576.82728697569,3,"(('isolationForest', 'bathrooms'), ('bin_equal_width_5', 'grade'), ('bin_equal_frequency_2', 'sqft_lot15'))",15
"(30581.919, 30757.111]",30597.573045913457,30754.693053045336,3,"(('zscore_clip_3', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",15
"(30757.111, 30932.303]",30758.197822663,30905.823337487134,3,"(('winsorize', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",16
"(30932.303, 31107.495]",30939.91424836638,31092.439684672623,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",44
"(31107.495, 31282.688]",31163.335019555725,31274.293404194774,3,"(('bin_equal_width_5', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",13
"(31282.688, 31457.88]",31286.92741316246,31451.325094389504,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",13
"(31457.88, 31633.072]",31474.098123406653,31618.586450215676,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",18
"(31633.072, 31808.264]",31641.341405977735,31807.977023188403,3,"(('zscore_clip_3', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'))",15
"(31808.264, 31983.456]",31823.490028117794,31978.583418647453,3,"(('norm_log', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",15
"(31983.456, 32158.648]",31998.61577238737,32148.594987574263,3,"(('isolationForest', 'bathrooms'), ('bin_equal_width_5', 'grade'), ('IQR', 'sqft_lot15'))",18
"(32158.648, 32333.84]",32164.27282646286,32332.903361904024,3,"(('IQR', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'sqft_lot'))",26
"(32333.84, 32509.032]",32336.310567077697,32502.417297458436,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",52
"(32509.032, 32684.225]",32511.107992202666,32683.29319780308,3,"(('winsorize', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",27
"(32684.225, 32859.417]",32685.24342243746,32857.58877527271,3,"(('IQR', 'bedrooms'), ('IQR', 'sqft_lot'), ('bin_equal_frequency_10', 'sqft_living'))",32
"(32859.417, 33034.609]",32871.05412786854,33032.43422431345,3,"(('zscore_clip_3', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",32
"(33034.609, 33209.801]",33037.919666702786,33209.75057423763,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",26
"(33209.801, 33384.993]",33212.65155681136,33384.53711801856,3,"(('bin_equal_width_2', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",38
"(33384.993, 33560.185]",33385.446745546986,33549.48077428611,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'))",59
"(33560.185, 33735.377]",33563.72482668826,33724.4749983457,3,"(('winsorize', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'))",34
"(33735.377, 33910.569]",33736.13721661338,33905.39690851213,3,"(('isolationForest', 'bathrooms'), ('bin_equal_width_5', 'grade'), ('bin_equal_frequency_5', 'yr_built'))",39
"(33910.569, 34085.761]",33912.69670925655,34082.94761983694,3,"(('norm_log', 'bathrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",39
"(34085.761, 34260.954]",34087.12688409071,34253.6209656135,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",36
"(34260.954, 34436.146]",34271.701551542574,34429.81625399573,3,"(('bin_equal_width_10', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",47
"(34436.146, 34611.338]",34438.063199758995,34610.61493615903,2,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",62
"(34611.338, 34786.53]",34614.00746224509,34783.73472690326,3,"(('norm_log', 'bathrooms'), ('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'))",56
"(34786.53, 34961.722]",34789.33765812429,34960.40480437131,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",50
"(34961.722, 35136.914]",34963.88787101782,35136.24921077373,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'))",89
"(35136.914, 35312.106]",35137.18112659866,35309.94658610441,3,"(('zscore_clip_3', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'))",50
"(35312.106, 35487.298]",35317.0739827707,35485.63021983099,2,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",87
"(35487.298, 35662.491]",35497.818049496665,35661.72659913941,3,"(('IQR', 'bathrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('isolationForest', 'bathrooms'))",57
"(35662.491, 35837.683]",35669.77030397898,35837.62296351697,3,"(('bin_equal_width_5', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'))",76
