bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(778.771, 783.472]",781.6515383066101,781.6515383066101,5,"(('bin_equal_frequency_5', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",1
"(783.472, 788.173]",784.8144139923064,787.8802363391152,4,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('isolationForest', 'age'))",14
"(788.173, 792.873]",788.6292944313547,791.9305907439059,5,"(('bin_equal_frequency_2', 'age'), ('norm_log', 'education'), ('zscore_clip_3', 'education'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",4
"(792.873, 797.574]",793.4775358615773,793.4775358615773,5,"(('norm_min_max', 'age'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",1
"(797.574, 802.275]",798.2891402532417,798.2891402532417,5,"(('norm_min_max', 'age'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'), ('bin_equal_frequency_2', 'education'))",1
"(802.275, 806.976]",802.6699688896946,806.8693565573303,4,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_5', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",11
"(806.976, 811.677]",808.0403102620419,811.5210858573387,3,"(('IQR', 'education'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",17
"(811.677, 816.378]",811.8522591327655,815.4954679713816,5,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('norm_log', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",4
"(816.378, 821.079]",816.7509342137494,820.134607757556,5,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'education'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",3
"(821.079, 825.78]",823.0512053951423,825.5731292251202,5,"(('bin_equal_frequency_10', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'), ('norm_log', 'age'))",5
"(825.78, 830.48]",826.0819862249529,828.8766513898087,4,"(('bin_equal_frequency_10', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",10
"(830.48, 835.181]",831.432065428345,835.0605695634761,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",10
"(835.181, 839.882]",835.2904732326417,839.7390142725368,4,"(('norm_min_max', 'age'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",22
