bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(25217.066, 25388.407]",25269.071780200262,25385.377486795187,19,"(('bin_equal_frequency_10', 'sqft_above'), ('zscore_filter_3', 'yr_built'), ('zscore_filter_3', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'), ('bin_equal_frequency_5', 'sqft_lot'), ('IQR', 'sqft_living15'), ('IQR', 'sqft_lot15'), ('bin_equal_width_2', 'bathrooms'), ('zscore_clip_3', 'grade'), ('norm_log', 'yr_renovated'), ('zscore_clip_3', 'sqft_above'), ('bin_equal_width_5', 'floors'), ('norm_log', 'condition'), ('zscore_filter_3', 'sqft_basement'), ('winsorize', 'yr_built'), ('zscore_filter_3', 'sqft_lot'), ('norm_min_max', 'view'), ('bin_equal_frequency_5', 'sqft_lot15'), ('norm_min_max', 'grade'))",2
"(25388.407, 25559.748]",25473.77239008341,25473.77239008341,15,"(('bin_equal_frequency_5', 'sqft_lot15'), ('IQR', 'sqft_living'), ('IQR', 'sqft_basement'), ('bin_equal_frequency_5', 'bathrooms'), ('IQR', 'view'), ('bin_equal_frequency_10', 'grade'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_2', 'sqft_living'), ('bin_equal_frequency_5', 'floors'), ('zscore_filter_3', 'floors'), ('norm_log', 'sqft_lot'), ('norm_log', 'condition'), ('bin_equal_width_2', 'sqft_above'), ('bin_equal_frequency_5', 'bedrooms'), ('bin_equal_frequency_5', 'yr_renovated'))",1
"(25731.089, 25902.429]",25754.427918780595,25901.56590503105,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_5', 'sqft_living'))",6
"(25902.429, 26073.77]",25921.706310020527,26032.52910776192,3,"(('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_basement'))",3
"(26073.77, 26245.111]",26105.423730462324,26216.567749145208,3,"(('bin_equal_frequency_2', 'sqft_living15'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'))",4
"(26245.111, 26416.452]",26252.657384139486,26374.756424274063,3,"(('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'))",3
"(26416.452, 26587.793]",26427.76438689255,26566.775215129368,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('zscore_clip_3', 'grade'))",5
"(26587.793, 26759.134]",26599.036575373728,26693.61355978431,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'sqft_basement'))",3
"(26759.134, 26930.475]",26761.42972380959,26905.11341257312,3,"(('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_basement'))",3
"(26930.475, 27101.816]",26979.47377498413,27022.388857463142,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",3
