bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(511.759, 523.417]",511.8368382092099,523.2374566564613,4,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",145
"(523.417, 535.075]",523.4306153857756,534.9968654695176,4,"(('bin_equal_frequency_2', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'))",89
"(535.075, 546.733]",535.0838808895351,546.6074931864887,4,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",119
"(546.733, 558.391]",547.0370312711948,558.3646680100846,4,"(('zscore_filter_3', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'age'), ('isolationForest', 'TABLE'))",127
"(558.391, 570.049]",558.478639854442,569.956159303169,4,"(('IQR', 'age'), ('bin_equal_width_10', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",104
"(570.049, 581.707]",570.1792898621516,581.6916612666118,4,"(('bin_equal_width_2', 'education'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'))",181
"(581.707, 593.365]",581.7103742136792,593.2867673209048,4,"(('bin_equal_width_5', 'age'), ('winsorize', 'education'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",160
"(593.365, 605.024]",593.4742222210725,604.9755521340676,3,"(('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'))",185
"(605.024, 616.682]",605.1625686121661,616.6082738833275,4,"(('bin_equal_frequency_2', 'education'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'))",231
"(616.682, 628.34]",616.7171471196107,628.3351572506772,3,"(('drop_duplicates', 'TABLE'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'))",278
"(628.34, 639.998]",628.341808988328,639.940201083853,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",284
"(639.998, 651.656]",640.2780604684385,651.5451142346301,4,"(('bin_equal_frequency_2', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",291
"(651.656, 663.314]",651.8210889862034,663.2397168707776,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",273
"(663.314, 674.972]",663.4080965643898,674.9611820999695,4,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'TABLE'))",258
"(674.972, 686.63]",675.0238697767072,686.5246915319203,3,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'TABLE'))",347
"(686.63, 698.288]",686.8183347862605,698.228811232304,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_width_10', 'education'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",290
"(698.288, 709.946]",698.339027351969,709.8430201079682,4,"(('bin_equal_frequency_2', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'))",304
"(709.946, 721.604]",710.0639968222576,721.5335940520699,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'TABLE'))",382
"(721.604, 733.262]",721.684771838025,733.2220038903197,3,"(('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",409
"(733.262, 744.92]",733.3924979283029,744.8752605252853,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'education'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",303
"(744.92, 756.579]",744.9449010542457,756.5765776709322,3,"(('bin_equal_frequency_10', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",375
"(756.579, 768.237]",756.6173204886518,768.2303493884137,3,"(('bin_equal_frequency_2', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",359
"(768.237, 779.895]",768.2507624784835,779.8841263073618,3,"(('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",460
"(779.895, 791.553]",779.9811845131699,791.5041515310545,4,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'age'), ('isolationForest', 'TABLE'), ('bin_equal_width_2', 'age'))",436
"(791.553, 803.211]",791.5905421978932,803.1861138123259,4,"(('bin_equal_frequency_2', 'education'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'))",438
"(803.211, 814.869]",803.282177916305,814.8182808897745,4,"(('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'), ('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'))",401
"(814.869, 826.527]",814.9753142205986,826.4762125190464,4,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'age'), ('isolationForest', 'TABLE'), ('bin_equal_frequency_2', 'age'))",425
"(826.527, 838.185]",826.5756671648978,838.1372627780365,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'TABLE'))",500
"(838.185, 849.843]",838.2103480902688,849.8109994090282,3,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'age'), ('isolationForest', 'TABLE'))",452
"(849.843, 861.501]",849.9121461345067,861.4776513917095,3,"(('bin_equal_width_5', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",500
"(861.501, 873.159]",861.5657861801792,873.1571745945739,4,"(('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",528
"(873.159, 884.817]",873.1644315885369,884.8034405300778,3,"(('bin_equal_frequency_5', 'education'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'))",485
"(884.817, 896.475]",884.821263951716,896.4525863867821,3,"(('bin_equal_width_2', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",503
"(896.475, 908.134]",896.481563452654,908.1032063452453,4,"(('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('drop_duplicates', 'TABLE'))",528
"(908.134, 919.792]",908.1363218465212,919.7804899157054,4,"(('bin_equal_frequency_5', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",472
"(919.792, 931.45]",919.8829889401959,931.4327663152235,3,"(('bin_equal_frequency_5', 'education'), ('IQR', 'age'), ('isolationForest', 'TABLE'))",555
"(931.45, 943.108]",931.5184638519277,943.1050148681279,4,"(('bin_equal_frequency_5', 'education'), ('bin_equal_width_5', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",587
"(943.108, 954.766]",943.1398750744356,954.7656507355205,4,"(('bin_equal_frequency_2', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",562
"(954.766, 966.424]",954.7687813755183,966.4214110216926,3,"(('bin_equal_width_5', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",598
"(966.424, 978.082]",966.4706775591876,978.0768767509235,3,"(('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'))",624
"(978.082, 989.74]",978.1043265566041,989.7334741596096,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('isolationForest', 'TABLE'), ('bin_equal_frequency_2', 'education'))",655
"(989.74, 1001.398]",989.7662931587198,1001.392986795594,4,"(('bin_equal_frequency_2', 'age'), ('norm_log', 'education'), ('bin_equal_width_2', 'education'), ('isolationForest', 'TABLE'))",736
"(1001.398, 1013.056]",1001.4533787562932,1013.0508603724543,4,"(('bin_equal_frequency_2', 'age'), ('bin_equal_width_5', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",970
"(1013.056, 1024.714]",1013.0700470324791,1024.7111048292945,3,"(('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",1046
"(1024.714, 1036.372]",1024.719254335808,1036.3452930978528,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'education'), ('isolationForest', 'TABLE'), ('bin_equal_width_2', 'education'))",913
"(1036.372, 1048.03]",1036.4422292743247,1047.9438664130957,3,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('isolationForest', 'TABLE'))",1039
"(1048.03, 1059.689]",1048.0344156469591,1059.6605223326633,3,"(('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'))",1090
"(1059.689, 1071.347]",1059.6887065368082,1071.3378867131728,3,"(('bin_equal_frequency_5', 'age'), ('zscore_clip_3', 'education'), ('isolationForest', 'TABLE'))",1491
"(1071.347, 1083.005]",1071.366375785753,1082.9997069970996,3,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('drop_duplicates', 'TABLE'))",1605
"(1083.005, 1094.663]",1083.016980048431,1094.6245964813015,3,"(('IQR', 'age'), ('bin_equal_width_10', 'age'), ('isolationForest', 'TABLE'))",1478
